SkadeNr SkadeAr avvikling antallskader SkadeEstimat Regress UtbetaltBelop RBNS
1350629-1 2007 0 1 0.00 0.00 0.00 0.00
1353486-1 2007 0 1 250000.00 0.00 -68000.00 182000.00
1353486-1 2007 1 0 -110769.00 0.00 -71231.00 -182000.00
1355650-2 2008 0 1 7000.00 0.00 -5097.00 1903.00
1355650-2 2008 2 0 -1903.00 0.00 0.00 -1903.00
1357498-2 2010 0 1 0.00 0.00 0.00 0.00
1359388-3 2008 1 1 60000.00 0.00 -53950.00 6050.00
1359388-3 2008 2 0 100000.00 0.00 -54094.00 45906.00
1359388-3 2008 3 0 380000.00 0.00 -23969.00 356031.00
1359388-3 2008 5 0 -407987.00 0.00 0.00 -407987.00
1363808-2 2009 0 0 25000.00 0.00 -5094.00 19906.00
1363808-2 2009 1 0 -19906.00 0.00 0.00 -19906.00
1363808-2 2009 2 1 5000.00 0.00 -1506.00 3494.00
1363808-2 2009 3 0 -3494.00 0.00 0.00 -3494.00
1370511-2 2007 1 1 50000.00 0.00 0.00 50000.00
1370511-2 2007 2 0 -50000.00 0.00 0.00 -50000.00
1371708-2 2008 0 1 0.00 0.00 0.00 0.00
1371973-3 2010 0 1 1140.00 0.00 -1140.00 0.00
1378976-4 2009 1 1 35000.00 0.00 -35000.00 0.00
1378976-4 2009 3 0 49312.00 0.00 -49312.00 0.00
1380292-2 2007 1 1 794.00 0.00 -794.00 0.00
1386680-1 2007 1 1 0.00 0.00 0.00 0.00
1389661-2 2009 0 1 500.00 0.00 -500.00 0.00
1389943-1 2007 1 1 50000.00 0.00 0.00 50000.00
1389943-1 2007 3 0 -50000.00 0.00 0.00 -50000.00
1390991-3 2008 0 1 20000.00 0.00 -18853.00 1147.00
1390991-3 2008 1 0 200000.00 0.00 -194500.00 5500.00
1391921-1 2008 0 1 3800.00 0.00 -3770.00 30.00
1391921-1 2008 3 0 -30.00 0.00 0.00 -30.00
1393708-2 2009 0 1 0.00 0.00 0.00 0.00
1396666-1 2007 1 1 0.00 0.00 0.00 0.00
1397424-2 2008 1 1 10000.00 0.00 0.00 10000.00
1399768-1 2007 1 1 0.00 0.00 0.00 0.00
1401262-2 2009 0 1 0.00 0.00 0.00 0.00
1401698-3 2008 1 1 3700.00 0.00 -3700.00 0.00
1404137-2 2008 1 0 50000.00 0.00 0.00 50000.00
1404137-2 2008 2 0 -50000.00 0.00 0.00 -50000.00
1404137-2 2008 3 1 200000.00 0.00 -15750.00 184250.00
1404137-2 2008 4 0 -184250.00 0.00 0.00 -184250.00
1409215-3 2009 0 1 25000.00 0.00 0.00 25000.00
1409215-3 2009 1 0 -25000.00 0.00 0.00 -25000.00
1410059-2 2008 1 1 55070.00 0.00 -15264.40 39805.60
1410059-2 2008 2 0 20280.00 0.00 -23550.00 -3270.00
1410059-2 2008 4 0 520000.00 0.00 -14410.00 505590.00
